attribute description, element ns name, element local name,Factorization?,Parent element mentioned?,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,subFontBySize,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressAutoHyphens,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressBottomSpacing,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressLineNumbers,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressOverlap,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressSpBfAfterPgBrk,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressSpacingAtTopOfPage,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressTopSpacing,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,suppressTopSpacingWP,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,swapBordersFacingPages,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tblHeader,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tcFitText,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,temporary,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,titlePg,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,topLinePunct,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,trackRevisions,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,truncateFontHeightsLikeWP6,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,ulTrailSpace,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,underlineTabInNumList,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,unhideWhenUsed,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,updateFields,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useAltKinsokuLineBreakRules,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useAnsiKerningPairs,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useFELayout,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useNormalStyleForList,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,usePrinterMetrics,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useSingleBorderforContiguousCells,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useWord2002TableStyleRules,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useWord97LineBreakRules,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,useXSLTWhenSaving,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,vanish,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,viewMergedData,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,webHidden,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,widowControl,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,wordWrap,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,wpJustification,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,wpSpaceWidth,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff,http://schemas.openxmlformats.org/wordprocessingml/2006/main,wrapTrailSpaces,,,
{http://schemas.openxmlformats.org/wordprocessingml/2006/main}val defined by w_CT_OnOff å¬êî,,205,Yes.  Common boolean property definition in Åò17.17.4,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/chart,chart,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/chart,externalData,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/chart,legacyDrawingHF,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/chart,userShapes,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/main,hlinkClick,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/main,hlinkHover,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/main,hlinkMouseOver,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing,contentPart,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing,contentPart,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,bold,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,boldItalic,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,contentPart,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,control,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,custData,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,handoutMasterId,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,htmlPubPr,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,italic,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,notesMasterId,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,oleObj,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,regular,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,sld,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,sld,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,sldId,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,sldLayoutId,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,sldMasterId,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,smartTags,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/presentationml/2006/main,tags,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,control,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,controlPr,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,customPr,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,dataRef,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,drawing,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,drawingHF,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,externalBook,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,externalReference,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,header,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,hyperlink,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,legacyDrawing,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,legacyDrawingHF,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,objectPr,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,oleLink,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,oleObject,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pageSetup,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pageSetup,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,picture,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCache,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotSelection,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,rangeSet,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,sheet,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,tablePart,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,worksheetSource,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,altChunk,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,attachedTemplate,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,bottom,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,contentPart,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,control,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,dataSource,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,embedBold,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,embedBoldItalic,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,embedItalic,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,embedRegular,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,footerReference,,,
{http://schemas.openxmlformats.org/officeDocument/2006/relationships}id defined by r_id,http://schemas.openxmlformats.org/wordprocessingml/2006/main,headerReference,,,
